user_id,city,rating,date,comment
艮艮,,推荐,2019-06-27,终于有一部期待的剧播出了，太难得了！画面服化道也太棒了，整体节奏UPUP的快，让人恨不得一天看完全集。长安城里，看似平静的世道啊，早就变天了。
轻举绝俗,,推荐,2019-06-27,服化道和场面的升级不是通过牺牲剧情的完成度来达到的，这点忒赞。前几集都在埋线铺开一重天罗地网，然后渐渐收紧的氛围我超级喜欢。箭在弦上一触即发，张小敬和李必，就是拿着弓的那个人。
吾皇万岁,北京,推荐,2019-06-27,唐朝晏景，上元一日，烟火人间。梦回大唐，制作精良，重现繁华盛唐。呈现出来的画面很有真实感，盛唐时期的妆容很有层次感，易烊千玺的演技也同样有进步。4星＋
咯噔文学院院长,,很差,2019-06-28,丑。。。
Fan,浙江杭州,很差,2019-06-27,本来就烂尾了 现在又魔改成什么样了
孔鲤,北京,推荐,2019-06-28,李泌对帝国的认同来自这个帝国的名字叫做唐，张小敬对帝国的认同来自这个帝国有着自上而下的机制能够保护像张小敬以及更弱小的人，这两种对帝国的不同认同在《长安十二时辰》里达成了共鸣，这也是历来对帝国认同的差异性的平衡点。平衡点一旦偏移，便是安史之乱与晚唐。
凌天大帝,,较差,2019-06-27,说实话，看过小说，对于雷佳音演男主一直不认可，现在电视剧出来了，果不其然，头太大，痞子气浓，根本演不出原著主角的那种狠厉的气质。导演叙事能力在海上牧云记和治愈者这两部剧里面已经完整展现了。节奏感把握不好，叙事不够明确，看电视剧晦涩是最不能接受的。二星给服化道和摄影（算是給曹盾面子）
good luck😇,四川成都,较差,2019-06-28,好难看 易烊千玺原来也照骗
人间霸王花,江苏南京,较差,2019-06-28,四个字哪里像钟鸣鼎食之家的公子啊，简直是世家大族的跑腿小弟好么，完全没有贵气，选角失败透顶，为什么要向流量低头
齐天大圣,河北张家口,较差,2019-06-27,颜控的我表示很失望。
德嘉,,很差,2019-06-28,Emmmmmmm颜值劝退
有枝不蔓,湖北武汉,较差,2019-06-28,无聊
ALLEN,福建福州,很差,2019-06-28,一星给服化道，华丽外表之下的空虚
听雪先生,广东广州,力荐,2019-06-28,"不枉我们等了这么久！灯服道效化都是极高的水准！和原著相比，略有改动，都在情理之中。演员的演技都无可挑剔，看到韩童生，雷佳音，周一围这些名字，就让人安心。张小敬回忆不良人往事一段，让人直接泪崩。这部电视剧必定高分！顺便怒赞马亲王！

再说一句，那些打一星的人，你们长久以来被眼疾和疯症所折磨，也是很可怜。吾有一方，可医君疾，秘传阁下，切勿外泄:砒霜四钱，以河豚血调和，搓之成丸，温开水送服即可。"
zero,上海,力荐,2019-06-27,良心剧，电视很有质感，千玺台词还可以不是很出戏，老戏骨台词功底真好
爽歪歪/56,,很差,2019-06-28,烂剧呵呵呵
我是高级的跳脚,,很差,2019-06-28,雷佳音演技吊打另一个，没演技长得丑的另一个天天夸上天，一到剧里现原形，台词太差了，演技三脚猫
灵儿,,很差,2019-06-28,我不行了易烊千玺好丑……还没这个水平干嘛挑这么大梁子，真的不行
游女,,力荐,2019-06-27,易烊千玺的演技意外的不错。
yyyyy,,力荐,2019-06-27,嗯看完了之后感觉最后的剧情稍微有点拖，但这个暑假档都是烂片的情况下，这点瑕疵也可以被忽视掉了，国产剧集继续加油！
七色阳光,,很差,2019-07-19,并不好看
agynesslfr,重庆,力荐,2019-06-27,比想象中好很多，剧情紧凑，人物立体，雷佳音演的比我读书时认为的张小敬更像一个实实在在的人，千玺的存在是最大的惊喜，是那个天才又自信又志向宏大的李泌，值得期待。
z,浙江杭州,很差,2019-06-28,不太敢说 但是易烊千玺真的不好看啊……
